,Title,Year,Image,Movie_Time,AudienceScore,TomatometerScore,Audience_Score_Reviews,Tomatometer_Score_Reviews,Info,Genre,Language,Directors,Producers,Writers,Cast,Cast_Role
0,Laura - Rotten Tomatoes,1944,https://resizing.flixster.com/1OwNuIOVkWrsw-VzuhSb6bnFGB0=/206x305/v2/https://flxt.tmsimg.com/assets/p212_p_v8_aa.jpg, 1h 28m,90,100,"10,000+ Ratings",66,"In one of the most celebrated 1940s film noirs, Manhattan detective Mark McPherson (Dana Andrews) investigates the murder of Madison Avenue executive Laura Hunt (Gene Tierney) in her fashionable apartment. On the trail of her murderer, McPherson quizzes Laura's arrogant best friend, gossip columnist Waldo Lydecker (Clifton Webb) and her comparatively mild fiancé, Shelby Carpenter (Vincent Price). As the detective grows obsessed with the case, he finds himself falling in love with the dead woman.",Mystery & thriller,English,Otto Preminger,Otto Preminger,Jay Dratler/Samuel Hoffenstein/Elizabeth Reinhardt,Gene Tierney/Dana Andrews/Clifton Webb/Vincent Price/Judith Anderson/Dorothy Adams/James Flavin/Clyde Fillmore/Ralph Dunn/Grant Mitchell/Kathleen Howard/Otto Preminger/Otto Preminger/Jay Dratler/Samuel Hoffenstein/Elizabeth Reinhardt/David Raksin/Joseph LaShelle/Louis R. Loeffler/Leland Fuller/Lyle R. Wheeler/Thomas Little/Bonnie Cashin,Laura Hunt/Det. Lt. Mark McPherson/Waldo Lydecker/Shelby Carpenter/Ann Treadwell/Bessie Clary/Det. McEveety/Owner of Bullitt & Co Ad Agency/Fred Callahan/Lancaster Corey/Louise/Director/Producer/Screenwriter/Screenwriter/Screenwriter/Original Music/Cinematographer/Film Editing/Art Director/Art Director/Set Decoration/Costume Design
1,"3 1/2 Minutes, Ten Bullets - Rotten Tomatoes",2015,https://resizing.flixster.com/9OzXnIqEA_3jq5FP-sUymICWll4=/206x305/v2/https://flxt.tmsimg.com/assets/p11662905_p_v8_aa.jpg, 1h 38m,86,100,500+ Ratings,50,"Filmmaker Marc Silver uses the shooting death of black teenager Jordan Davis to examine Florida's ""Stand Your Ground"" self-defense law.","Documentary, 
                        
                        Crime, 
                        
                        Drama",English,Marc Silver,Carolyn Hepburn/Minette Nelson,Marc Silver,Lucia McBath/Ron Davis/Michael Dunn/Russell Healey/John Guy/Cory Strolla/Marc Silver/Marc Silver/Orlando Bagwell/Bonni Cohen/Julie Goldman/Carolyn Hepburn/Minette Nelson,Jordan Davis' mother/Jordan Davis' father//Circuit Court Judge/Asst. State Attorney/Defense Attorney/Director/Writer/Executive Producer/Executive Producer/Executive Producer/Producer/Producer
2,12 Angry Men - Rotten Tomatoes,1957,https://resizing.flixster.com/G2JTUZwlZ2bxncICjRzOIJBLDrQ=/206x305/v2/https://flxt.tmsimg.com/assets/p2084_p_v8_ar.jpg, 1h 35m,97,100,"100,000+ Ratings",58,"Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict meaning death for the accused, an inner-city teen. As the dozen men try to reach a unanimous decision while sequestered in a room, one juror (Henry Fonda) casts considerable doubt on elements of the case. Personal issues soon rise to the surface, and conflict threatens to derail the delicate process that will decide one boy's fate.",Drama,English,Sidney Lumet,Henry Fonda/Reginald Rose,Reginald Rose,Henry Fonda/Lee J. Cobb/Ed Begley/E.G. Marshall/Jack Klugman/Martin Balsam/John Fiedler/Joseph Sweeney/George Voskovec/Robert Webber/Jack Warden/Edward Binns/Sidney Lumet/Henry Fonda/Reginald Rose/Reginald Rose/Kenyon Hopkins/Boris Kaufman/Carl Lerner/Bob Markel,Juror No. 8/Juror No. 3/Juror No. 10/Juror No. 4/Juror No. 5/Juror No. 1/Juror No. 2/Juror No. 9/Juror No. 11/Juror No. 12/Juror No. 7/Juror No. 6/Director/Producer/Producer/Screenwriter/Original Music/Cinematographer/Film Editing/Art Director
3,76 Days - Rotten Tomatoes,2020,https://resizing.flixster.com/WrKjIqHFBh5XeUuVCm1YqyYo6AI=/206x305/v2/https://resizing.flixster.com/UMYCpfQkWEDJhT2kT8BGAsX08Yc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JkNjU3OTRkLWIzNmEtNDc3OS04Y2I2LWZmYjU4ZmQ0YWZiOC5qcGc=, 1h 33m,84,100,Fewer than 50 Ratings,101,"Health care workers and patients combat the COVID-19 outbreak during a lockdown in Wuhan, China.",Documentary,Chinese,Hao Wu/Weixi Chen,Jean Tsien/Hao Wu,Hao Wu,Hao Wu/Weixi Chen/Hao Wu/Geralyn White Dreyfous/Roberto Grande/Naja Pham Lockwood/Bryn Mooser/Jean Tsien/Hao Wu/Weixi Chen/Hao Wu,Director/Director/Writer/Executive Producer/Executive Producer/Executive Producer/Executive Producer/Producer/Producer/Cinematographer/Film Editing
4,"Acasa, My Home - Rotten Tomatoes",2020,https://resizing.flixster.com/a8ivvqdD-YWkxIwxBq3arCudwos=/206x305/v2/https://flxt.tmsimg.com/assets/p19119154_p_v8_aa.jpg, 1h 26m,83,100,Fewer than 50 Ratings,41,A rural Romanian couple and their nine children must learn to live in the big city.,Documentary,Romanian,Radu Ciorniciuc,Erkko Lyytinen/Monica Lazurean-Gorgan/Alina David,,Radu Ciorniciuc/Erkko Lyytinen/Monica Lazurean-Gorgan/Alina David/Hanka Kastelicová/Radu Ciorniciuc/Radu Ciorniciuc/Andrei Gorgan/Codrin LazarYari,Director/Producer/Producer/Producer/Executive Producer/Executive Producer/Cinematographer/Film Editing/Original Music
5,The Adventures of Robin Hood - Rotten Tomatoes,1938,https://resizing.flixster.com/Pw64N-oe1IIMvZDrP-157qxhVs8=/206x305/v2/https://flxt.tmsimg.com/assets/p940_p_v8_af.jpg, 1h 42m,89,100,"25,000+ Ratings",50,"When King Richard the Lionheart is captured, his scheming brother Prince John (Claude Rains) plots to reach the throne, to the outrage of Sir Robin of Locksley (Errol Flynn), the bandit king of Sherwood Forest. Rounding up his band of men and eventually winning the support of the lovely Maid Marian (Olivia de Havilland), Robin accuses Prince John of treachery and, when the escaped Richard returns covertly to England, joins forces with the king to prevent Prince John from taking the crown.",PG,"Adventure, 
                        
                        Action",,Michael Curtiz/William Keighley,Hal B. Wallis,Errol Flynn/Olivia de Havilland/Basil Rathbone/Claude Rains/Patric Knowles/Eugene Pallette/Alan Hale/Herbert Mundin/Una O'Connor/Melville Cooper/Ian Hunter/Montagu Love/Leonard Willey/Robert Noble/Kenneth Hunter/Robert Warwick/Colin Kenny/Lester Matthews/Harry Cording/Howard Hill/Michael Curtiz/William Keighley/Norman Reilly Raine/Seton I. Miller/Henry Blanke/Hal B. Wallis/Erich Wolfgang Korngold/Tony Gaudio/Carl Jules Weyl/Milo Anderson/Perc Westmore/Ward Hamilton/C.A. Riggs/Jack Sullivan,Robin Hood/Maid Marian/Sir Guy of Gisbourne/Prince John/Will Scarlett/Friar Tuck/Little John/Much the Miller's Son/Bess/High Sheriff of Nottingham/King Richard the Lion Heart/Bishop of Black Canons/Essex/Sir Ralfe/Sir Mortimer/SIr Geoffrey/Sir Baldwin/Sir Ivor/Dicken Malbott/Captain of Archers/Director/Director/Writer/Writer/Associate Producer/Producer/Original Music/Cinematographer/Art Director/Costume Design/Makeup Artist/Makeup Artist/Sound/Assistant Director
6,Afghan Star - Rotten Tomatoes,2009,https://resizing.flixster.com/zODnt8Z_ezX-DdcIF3a3lXqGucE=/206x305/v2/https://flxt.tmsimg.com/assets/p197200_v_v8_ab.jpg, 1h 28m,77,100,"5,000+ Ratings",62,"Director Havana Marking dives into the booming, but still young and growing, world of pop culture in Afghanistan. Newly liberated after more than 30 years of stifling Taliban rule, the country is taken with a fervor for expression. This documentary follows four contestants, including two women, as they audition, sing and compete in a countrywide ""American Idol""-type competition called ""Pop Idol."" Marking uncovers a wonderfully vibrant community, which is also surprisingly accepting.",Documentary,English,Havana Marking,,,Havana Marking,Director
7,The Age of Shadows - Rotten Tomatoes,2016,https://resizing.flixster.com/t1Ju5gjoGR9hkoPFXGjcyXKata4=/206x305/v2/https://flxt.tmsimg.com/assets/p13274568_p_v8_av.jpg, 2h 20m,83,100,"1,000+ Ratings",49,Korean resistance fighters smuggle explosives to destroy facilities controlled by Japanese forces.,"Action, 
                        
                        Mystery & thriller",Korean,Kim Jee-woon,Choi Jeong-hwa,Kim Jee-woon,Song Kang-ho/Gong Yoo/Han Ji-min/Uhm Tae-goo/Shingo Tsurumi/Shin Sung-rok/Heo Sung-tae/Lee Seol-gu/Kim Jee-woon/Kim Jee-woon/Choi Jeong-hwa/Lee Jin-sook/Kim Ji-yong/Mowg,Lee Jeongchul/Kim U-jin/Yeon Gyesun/Hashimoto/Higashi/Jo Hoeryeong/Ha Ilsu/Oh Namwon/Director/Screenwriter/Producer/Co-Producer/Cinematographer/Music
8,All In: The Fight for Democracy - Rotten Tomatoes,2020,https://resizing.flixster.com/fQYcwz9f3DGWYk77DFlABD3RckA=/206x305/v2/https://resizing.flixster.com/0hAuRmji3kHh2OhCcm9IHLxOvrQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg0NGM5NmNhLWExYzQtNDcwMC04YTY4LTNmZWUzYzNhZTU2MC5qcGc=, 1h 42m,67,100,50+ Ratings,66,Filmmakers Liz Garbus and Lisa Cortes examine the history of voter suppression and the activists who fight for the rights of U.S. citizens.,PG-13,Documentary,,Lisa Cortes/Liz Garbus,Stacey Abrams/Dan Cogan/Lisa Cortes/Liz Garbus,Stacey Abrams/Lisa Cortes/Liz Garbus/Jack Youngelson/Stacey Abrams/Dan Cogan/Lisa Cortes/Liz Garbus/Gil Talmi,Self/Director/Director/Writer/Producer/Producer/Producer/Producer/Original Music
9,Anatomy of a Murder - Rotten Tomatoes,1959,https://resizing.flixster.com/6hS3g37OhhI26bgIoOP2O98lMTc=/206x305/v2/https://flxt.tmsimg.com/assets/p3968_p_v8_aa.jpg, 2h 40m,90,100,"10,000+ Ratings",50,"Semi-retired Michigan lawyer Paul Biegler (James Stewart) takes the case of Army Lt. Manion (Ben Gazzara), who murdered a local innkeeper after his wife (Lee Remick) claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick (Brooks West) and out-of-town prosecutor Claude Dancer (George C. Scott) to set his client free, but his case rests on the victim's mysterious business partner (Kathryn Grant), who's hiding a dark secret.","Crime, 
                        
                        Drama, 
                        
                        Mystery & thriller",English,Otto Preminger,Otto Preminger,John D. Voelker/Wendell Mayes,James Stewart/Lee Remick/Ben Gazzara/Arthur O'Connell/Eve Arden/Kathryn Grant/Joseph N. Welch/Brooks West/George C. Scott/Murray Hamilton/Orson Bean/Alexander Campbell/Joseph Kearns/Russ Brown/Howard McNear/Ned Wever/Jimmy Conlin/Ken Lynch/Don Ross/Lloyd LeVasseur/Otto Preminger/John D. Voelker/Wendell Mayes/Otto Preminger/Sam Leavitt/Louis R. Loeffler/Boris Leven,"Paul Biegler/Laura Manion/Lt. Frederick Manion/Parnell Emmett McCarthy/Maida Rutledge/Mary Pilant/Judge Weaver/Dist. Atty. Mitch Lodwick/Asst. State Atty. Gen. Claude Dancer/Alphonse Paquette/Dr. Matthew Smith/Dr. W. Gregory Harcourt/Lloyd Burke/George Lemon/Dr. Dompierre/Dr. Raschid/Clarence Madigan/Det. Sgt. James Durgo/Duane ""Duke"" Miller/Court Clerk/Director/Writer/Writer/Producer/Cinematographer/Film Editing/Production Design"
